train_loss	validation_loss
0.7084265766316094	0.15047699389803768
0.5929275431335554	0.143283561251626
0.5610473452325095	0.12577279433036134
0.541960587266658	0.1358681169844805
0.5289713635211228	0.13617276061334063
0.5199546364383423	0.14668734181888105
0.5126427895011147	0.14035047804943265
0.5068918616088922	0.13637751471888163
0.5015633308503311	0.14364327617712314
0.49732325435616076	0.1325829105876745
0.4918318789714249	0.1388287995392762
0.4889792077956372	0.14126501695122323
0.48529268201673403	0.1347741510170536
0.4818321816273965	0.14175271290690436
0.4790411996145849	0.14136225703664368
0.47611881616467144	0.1338323667406287
0.4739492778753629	0.13832884491405034
0.4713350552992779	0.14356646165823653
0.4695838972766069	0.1350023667149334
0.4671197049829061	0.1392329279268362
0.4657427441488835	0.13675577565247748
0.46298641603061697	0.14030781201108386
0.4618557762805722	0.14230951267006675
0.4596251781367755	0.1336875253117176
0.45800582969968673	0.14099348700928338
0.45661376969655976	0.13310023441401214
0.45504397668264573	0.13567306321252082
0.45358531049714657	0.13662503034250767
0.4518681690169615	0.1339484168852199
0.4504375134129077	0.13695463156022147
0.44935592574620387	0.14082726441578522
0.44837015362645616	0.13691095041276188
0.447452926535334	0.1376589477862916
0.4455411276067025	0.13751464629830468
0.4445563644039794	0.1359350061965671
0.4438494141504634	0.1364081079882504
0.44232499014469795	0.1341792099692567
0.44196419295622036	0.14248354866092053
0.4404785279693897	0.1406227383302461
0.4398577077226946	0.1415584203107991
0.4388112903761794	0.14781144569677984
0.4379524323740043	0.14128240360114763
0.43681789489346556	0.13815980772725037
0.43643218220677227	0.13472136996546077
0.4356348891524249	0.1376111912544341
0.43500679009594023	0.13912355780747082
0.4342131920639076	0.1450548263972486
0.4333762483402097	0.13709947630627872
0.4325962255243212	0.14139901114587425
0.43177554270369	0.1365587676395009
0.4312930651649367	0.1396172097302448
0.42976302502211183	0.13900215426734172
